9	 20
 Node#	 Xpos	 Ypos	 Bit	OI	BL	MaxI	PrefD	Skew	Kurtosis	H1111	H2211	H1112	H2212	H1122	H2222	Xn 	Yn 	H1n 	H2n 	H3n 	H4n 	H5n 	H6n
1	 0.00	 0.00	 1	 0.881	 3	 65520	 64.90	 0.957	 -0.633	 0.113	 0.132	 0.102	 0.194	 0.132	 0.623	 0.00	 0.80	 0.113	 0.132	 0.102	 0.194	 0.132	 0.623 
2	 0.00	 0.10	 1	 0.885	 3	 65520	 39.13	 0.957	 -0.633	 0.409	 0.168	 0.211	 0.174	 0.168	 0.254	 0.00	 0.70	 0.409	 0.168	 0.211	 0.174	 0.168	 0.254 
3	 0.00	 0.20	 1	 0.885	 3	 65520	 43.06	 0.957	 -0.633	 0.352	 0.172	 0.201	 0.190	 0.172	 0.305	 0.00	 0.60	 0.352	 0.172	 0.201	 0.190	 0.172	 0.305 
4	 0.00	 0.30	 1	 0.884	 3	 65520	 47.99	 0.957	 -0.633	 0.284	 0.171	 0.184	 0.205	 0.171	 0.374	 0.00	 0.50	 0.284	 0.171	 0.184	 0.205	 0.171	 0.374 
5	 0.00	 0.40	 1	 0.883	 3	 65520	 51.95	 0.957	 -0.633	 0.235	 0.166	 0.167	 0.212	 0.166	 0.433	 0.00	 0.40	 0.235	 0.166	 0.167	 0.212	 0.166	 0.433 
6	 0.00	 0.50	 1	 0.882	 3	 65520	 55.92	 0.957	 -0.633	 0.192	 0.158	 0.147	 0.214	 0.158	 0.493	 0.00	 0.30	 0.192	 0.158	 0.147	 0.214	 0.158	 0.493 
7	 0.00	 0.60	 1	 0.882	 3	 65520	 59.91	 0.957	 -0.633	 0.153	 0.147	 0.127	 0.209	 0.147	 0.552	 0.00	 0.20	 0.153	 0.147	 0.127	 0.209	 0.147	 0.552 
8	 0.00	 0.70	 1	 0.881	 3	 65520	 64.90	 0.957	 -0.633	 0.113	 0.132	 0.102	 0.194	 0.132	 0.623	 0.00	 0.10	 0.113	 0.132	 0.102	 0.194	 0.132	 0.623 
9	 0.00	 0.80	 1	 0.880	 3	 65520	 68.90	 0.957	 -0.633	 0.087	 0.119	 0.083	 0.175	 0.119	 0.675	 0.00	 0.00	 0.087	 0.119	 0.083	 0.175	 0.119	 0.675 
10	 0.10	 0.00	 1	 0.886	 3	 65520	 33.25	 0.957	 -0.633	 0.498	 0.157	 0.215	 0.146	 0.157	 0.188	 0.10	 0.80	 0.498	 0.157	 0.215	 0.146	 0.157	 0.188 
