9	 20
 Node#	 Xpos	 Ypos	 Bit	OI	BL	MaxI	PrefD	Skew	Kurtosis	H1111	H2211	H1112	H2212	H1122	H2222	Xn 	Yn 	H1n 	H2n 	H3n 	H4n 	H5n 	H6n
1	 0.00	 0.00	 1	 0.880	 3	 65520	 67.90	 0.957	 -0.633	 0.093	 0.122	 0.087	 0.180	 0.122	 0.663	 0.00	 0.80	 0.093	 0.122	 0.087	 0.180	 0.122	 0.663 
2	 0.00	 0.10	 1	 0.885	 3	 65520	 42.07	 0.957	 -0.633	 0.366	 0.171	 0.204	 0.186	 0.171	 0.292	 0.00	 0.70	 0.366	 0.171	 0.204	 0.186	 0.171	 0.292 
3	 0.00	 0.20	 1	 0.884	 3	 65520	 47.00	 0.957	 -0.633	 0.297	 0.171	 0.188	 0.202	 0.171	 0.360	 0.00	 0.60	 0.297	 0.171	 0.188	 0.202	 0.171	 0.360 
4	 0.00	 0.30	 1	 0.883	 3	 65520	 50.96	 0.957	 -0.633	 0.247	 0.167	 0.171	 0.211	 0.167	 0.418	 0.00	 0.50	 0.247	 0.167	 0.171	 0.211	 0.167	 0.418 
5	 0.00	 0.40	 1	 0.883	 3	 65520	 54.93	 0.957	 -0.633	 0.202	 0.160	 0.152	 0.214	 0.160	 0.478	 0.00	 0.40	 0.202	 0.160	 0.152	 0.214	 0.160	 0.478 
6	 0.00	 0.50	 1	 0.882	 3	 65520	 58.91	 0.957	 -0.633	 0.162	 0.150	 0.132	 0.211	 0.150	 0.537	 0.00	 0.30	 0.162	 0.150	 0.132	 0.211	 0.150	 0.537 
7	 0.00	 0.60	 1	 0.881	 3	 65520	 63.90	 0.957	 -0.633	 0.120	 0.135	 0.107	 0.198	 0.135	 0.609	 0.00	 0.20	 0.120	 0.135	 0.107	 0.198	 0.135	 0.609 
8	 0.00	 0.70	 1	 0.880	 3	 65520	 67.90	 0.957	 -0.633	 0.093	 0.122	 0.087	 0.180	 0.122	 0.663	 0.00	 0.10	 0.093	 0.122	 0.087	 0.180	 0.122	 0.663 
9	 0.00	 0.80	 1	 0.880	 3	 65520	 71.91	 0.957	 -0.633	 0.071	 0.109	 0.069	 0.157	 0.109	 0.710	 0.00	 0.00	 0.071	 0.109	 0.069	 0.157	 0.109	 0.710 
10	 0.10	 0.00	 1	 0.886	 3	 65520	 37.16	 0.957	 -0.633	 0.438	 0.165	 0.214	 0.165	 0.165	 0.231	 0.10	 0.80	 0.438	 0.165	 0.214	 0.165	 0.165	 0.231 
11	 0.10	 0.10	 1	 0.885	 3	 65520	 41.09	 0.957	 -0.633	 0.380	 0.170	 0.207	 0.182	 0.170	 0.279	 0.10	 0.70	 0.380	 0.170	 0.207	 0.182	 0.170	 0.279 
12	 0.10	 0.20	 1	 0.885	 3	 65520	 45.03	 0.957	 -0.633	 0.324	 0.172	 0.195	 0.197	 0.172	 0.332	 0.10	 0.60	 0.324	 0.172	 0.195	 0.197	 0.172	 0.332 
13	 0.10	 0.30	 1	 0.884	 3	 65520	 48.98	 0.957	 -0.633	 0.272	 0.170	 0.180	 0.207	 0.170	 0.389	 0.10	 0.50	 0.272	 0.170	 0.180	 0.207	 0.170	 0.389 
14	 0.10	 0.40	 1	 0.883	 3	 65520	 53.93	 0.957	 -0.633	 0.213	 0.162	 0.157	 0.214	 0.162	 0.463	 0.10	 0.40	 0.213	 0.162	 0.157	 0.214	 0.162	 0.463 
15	 0.10	 0.50	 1	 0.882	 3	 65520	 57.91	 0.957	 -0.633	 0.172	 0.153	 0.137	 0.212	 0.153	 0.523	 0.10	 0.30	 0.172	 0.153	 0.137	 0.212	 0.153	 0.523 
16	 0.10	 0.60	 1	 0.881	 3	 65520	 61.90	 0.957	 -0.633	 0.136	 0.141	 0.117	 0.204	 0.141	 0.581	 0.10	 0.20	 0.136	 0.141	 0.117	 0.204	 0.141	 0.581 
17	 0.10	 0.70	 1	 0.881	 3	 65520	 66.90	 0.957	 -0.633	 0.099	 0.125	 0.092	 0.185	 0.125	 0.650	 0.10	 0.10	 0.099	 0.125	 0.092	 0.185	 0.125	 0.650 
18	 0.10	 0.80	 1	 0.880	 3	 65520	 70.91	 0.957	 -0.633	 0.076	 0.112	 0.073	 0.163	 0.112	 0.699	 0.10	 0.00	 0.076	 0.112	 0.073	 0.163	 0.112	 0.699 
19	 0.20	 0.00	 1	 0.886	 3	 65520	 35.21	 0.957	 -0.633	 0.468	 0.162	 0.215	 0.155	 0.162	 0.209	 0.20	 0.80	 0.468	 0.162	 0.215	 0.155	 0.162	 0.209 
20	 0.20	 0.10	 1	 0.885	 3	 65520	 39.13	 0.957	 -0.633	 0.409	 0.168	 0.211	 0.174	 0.168	 0.254	 0.20	 0.70	 0.409	 0.168	 0.211	 0.174	 0.168	 0.254 
21	 0.20	 0.20	 1	 0.885	 3	 65520	 44.04	 0.957	 -0.633	 0.338	 0.172	 0.198	 0.193	 0.172	 0.319	 0.20	 0.60	 0.338	 0.172	 0.198	 0.193	 0.172	 0.319 
22	 0.20	 0.30	 1	 0.884	 3	 65520	 47.99	 0.957	 -0.633	 0.284	 0.171	 0.184	 0.205	 0.171	 0.374	 0.20	 0.50	 0.284	 0.171	 0.184	 0.205	 0.171	 0.374 
23	 0.20	 0.40	 1	 0.883	 3	 65520	 51.95	 0.957	 -0.633	 0.235	 0.166	 0.167	 0.212	 0.166	 0.433	 0.20	 0.40	 0.235	 0.166	 0.167	 0.212	 0.166	 0.433 
24	 0.20	 0.50	 1	 0.882	 3	 65520	 55.92	 0.957	 -0.633	 0.192	 0.158	 0.147	 0.214	 0.158	 0.493	 0.20	 0.30	 0.192	 0.158	 0.147	 0.214	 0.158	 0.493 
25	 0.20	 0.60	 1	 0.882	 3	 65520	 60.91	 0.957	 -0.633	 0.144	 0.144	 0.122	 0.207	 0.144	 0.567	 0.20	 0.20	 0.144	 0.144	 0.122	 0.207	 0.144	 0.567 
26	 0.20	 0.70	 1	 0.881	 3	 65520	 64.90	 0.957	 -0.633	 0.113	 0.132	 0.102	 0.194	 0.132	 0.623	 0.20	 0.10	 0.113	 0.132	 0.102	 0.194	 0.132	 0.623 
27	 0.20	 0.80	 1	 0.880	 3	 65520	 68.90	 0.957	 -0.633	 0.087	 0.119	 0.083	 0.175	 0.119	 0.675	 0.20	 0.00	 0.087	 0.119	 0.083	 0.175	 0.119	 0.675 
28	 0.30	 0.00	 1	 0.886	 3	 65520	 34.23	 0.957	 -0.633	 0.483	 0.160	 0.215	 0.150	 0.160	 0.198	 0.30	 0.80	 0.483	 0.160	 0.215	 0.150	 0.160	 0.198 
29	 0.30	 0.10	 1	 0.886	 3	 65520	 38.14	 0.957	 -0.633	 0.424	 0.167	 0.212	 0.169	 0.167	 0.243	 0.30	 0.70	 0.424	 0.167	 0.212	 0.169	 0.167	 0.243 
30	 0.30	 0.20	 1	 0.885	 3	 65520	 42.07	 0.957	 -0.633	 0.366	 0.171	 0.204	 0.186	 0.171	 0.292	 0.30	 0.60	 0.366	 0.171	 0.204	 0.186	 0.171	 0.292 
31	 0.30	 0.30	 1	 0.884	 3	 65520	 46.01	 0.957	 -0.633	 0.311	 0.172	 0.192	 0.200	 0.172	 0.346	 0.30	 0.50	 0.311	 0.172	 0.192	 0.200	 0.172	 0.346 
