9	 20
 Node#	 Xpos	 Ypos	 Bit	OI	BL	MaxI	PrefD	Skew	Kurtosis	
1	0.00	0.00	1	0.883	3	65520	54.93	0.957	-0.633	
2	0.00	0.10	1	0.886	3	65520	29.34	0.957	-0.633	
3	0.00	0.20	1	0.886	3	65520	33.25	0.957	-0.633	
4	0.00	0.30	1	0.886	3	65520	38.14	0.957	-0.633	
5	0.00	0.40	1	0.885	3	65520	42.07	0.957	-0.633	
6	0.00	0.50	1	0.884	3	65520	46.01	0.957	-0.633	
7	0.00	0.60	1	0.884	3	65520	49.97	0.957	-0.633	
8	0.00	0.70	1	0.883	3	65520	54.93	0.957	-0.633	
9	0.00	0.80	1	0.882	3	65520	58.91	0.957	-0.633	
10	0.10	0.00	1	0.885	3	65520	23.47	0.957	-0.633	
11	0.10	0.10	1	0.886	3	65520	28.36	0.957	-0.633	
12	0.10	0.20	1	0.886	3	65520	32.27	0.957	-0.633	
13	0.10	0.30	1	0.886	3	65520	36.19	0.957	-0.633	
14	0.10	0.40	1	0.885	3	65520	40.11	0.957	-0.633	
15	0.10	0.50	1	0.885	3	65520	45.03	0.957	-0.633	
16	0.10	0.60	1	0.884	3	65520	48.98	0.957	-0.633	
17	0.10	0.70	1	0.883	3	65520	52.94	0.957	-0.633	
18	0.10	0.80	1	0.882	3	65520	56.92	0.957	-0.633	
19	0.20	0.00	1	0.885	3	65520	22.49	0.957	-0.633	
20	0.20	0.10	1	0.886	3	65520	26.41	0.957	-0.633	
21	0.20	0.20	1	0.886	3	65520	30.32	0.957	-0.633	
22	0.20	0.30	1	0.886	3	65520	35.21	0.957	-0.633	
23	0.20	0.40	1	0.885	3	65520	39.13	0.957	-0.633	
24	0.20	0.50	1	0.885	3	65520	43.06	0.957	-0.633	
25	0.20	0.60	1	0.884	3	65520	47.00	0.957	-0.633	
26	0.20	0.70	1	0.883	3	65520	51.95	0.957	-0.633	
27	0.20	0.80	1	0.882	3	65520	55.92	0.957	-0.633	
28	0.30	0.00	1	0.885	3	65520	20.53	0.957	-0.633	
29	0.30	0.10	1	0.885	3	65520	24.45	0.957	-0.633	
30	0.30	0.20	1	0.886	3	65520	29.34	0.957	-0.633	
31	0.30	0.30	1	0.886	3	65520	33.25	0.957	-0.633	
32	0.30	0.40	1	0.886	3	65520	37.16	0.957	-0.633	
33	0.30	0.50	1	0.885	3	65520	42.07	0.957	-0.633	
34	0.30	0.60	1	0.884	3	65520	46.01	0.957	-0.633	
35	0.30	0.70	1	0.884	3	65520	49.97	0.957	-0.633	
36	0.30	0.80	1	0.883	3	65520	53.93	0.957	-0.633	
37	0.40	0.00	1	0.884	3	65520	19.54	0.957	-0.633	
38	0.40	0.10	1	0.885	3	65520	23.47	0.957	-0.633	
39	0.40	0.20	1	0.886	3	65520	27.38	0.957	-0.633	
40	0.40	0.30	1	0.886	3	65520	32.27	0.957	-0.633	
41	0.40	0.40	1	0.886	3	65520	36.19	0.957	-0.633	
42	0.40	0.50	1	0.885	3	65520	40.11	0.957	-0.633	
43	0.40	0.60	1	0.885	3	65520	44.04	0.957	-0.633	
44	0.40	0.70	1	0.884	3	65520	48.98	0.957	-0.633	
45	0.40	0.80	1	0.883	3	65520	52.94	0.957	-0.633	
46	0.50	0.00	1	0.884	3	65520	17.57	0.957	-0.633	
47	0.50	0.10	1	0.885	3	65520	21.51	0.957	-0.633	
48	0.50	0.20	1	0.886	3	65520	26.41	0.957	-0.633	
49	0.50	0.30	1	0.886	3	65520	30.32	0.957	-0.633	
50	0.50	0.40	1	0.886	3	65520	34.23	0.957	-0.633	
51	0.50	0.50	1	0.885	3	65520	39.13	0.957	-0.633	
52	0.50	0.60	1	0.885	3	65520	43.06	0.957	-0.633	
53	0.50	0.70	1	0.884	3	65520	47.00	0.957	-0.633	
54	0.50	0.80	1	0.883	3	65520	50.96	0.957	-0.633	
55	0.60	0.00	1	0.883	3	65520	16.59	0.957	-0.633	
56	0.60	0.10	1	0.885	3	65520	20.53	0.957	-0.633	
57	0.60	0.20	1	0.885	3	65520	24.45	0.957	-0.633	
58	0.60	0.30	1	0.886	3	65520	29.34	0.957	-0.633	
59	0.60	0.40	1	0.886	3	65520	33.25	0.957	-0.633	
