9	 20
 Node#	 Xpos	 Ypos	 Bit	OI	BL	MaxI	PrefD	Skew	Kurtosis	h11	 h12	 h21	 h22	
1	0.00	0.00	1	0.879	3	65520	80.92	0.957	-0.633	       14597.902	14010.634	  14010.634	  100061.180	
2	0.00	0.10	1	0.882	3	65520	55.92	0.957	-0.633	       40477.210	42009.108	  42009.108	  74160.963	
3	0.00	0.20	1	0.882	3	65520	59.91	0.957	-0.633	       34852.595	39212.271	  39212.271	  79794.960	
4	0.00	0.30	1	0.881	3	65520	63.90	0.957	-0.633	       29661.340	35661.949	  35661.949	  84991.695	
5	0.00	0.40	1	0.880	3	65520	68.90	0.957	-0.633	       23937.029	30271.022	  30271.022	  90719.592	
6	0.00	0.50	1	0.880	3	65520	72.91	0.957	-0.633	       20079.225	25298.160	  25298.160	  94578.801	
7	0.00	0.60	1	0.879	3	65520	76.92	0.957	-0.633	       16945.735	19842.635	  19842.635	  97712.998	
8	0.00	0.70	1	0.879	3	65520	80.92	0.957	-0.633	       14597.902	14010.634	  14010.634	  100061.180	
9	0.00	0.80	1	0.879	3	65520	85.93	0.957	-0.633	       12836.280	6364.661	  6364.661	  101822.977	
10	0.10	0.00	1	0.884	3	65520	49.97	0.957	-0.633	       49480.311	44676.775	  44676.775	  65131.787	
11	0.10	0.10	1	0.883	3	65520	53.93	0.957	-0.633	       43417.407	43107.354	  43107.354	  71213.986	
12	0.10	0.20	1	0.882	3	65520	57.91	0.957	-0.633	       37617.521	40708.635	  40708.635	  77025.941	
13	0.10	0.30	1	0.881	3	65520	62.90	0.957	-0.633	       30912.744	36616.628	  36616.628	  83739.200	
14	0.10	0.40	1	0.881	3	65520	66.90	0.957	-0.633	       26114.435	32545.787	  32545.787	  88541.069	
15	0.10	0.50	1	0.880	3	65520	70.91	0.957	-0.633	       21921.989	27851.216	  27851.216	  92735.444	
16	0.10	0.60	1	0.880	3	65520	75.91	0.957	-0.633	       17657.594	21246.101	  21246.101	  97001.008	
17	0.10	0.70	1	0.879	3	65520	79.92	0.957	-0.633	       15108.427	15497.826	  15497.826	  99550.594	
18	0.10	0.80	1	0.879	3	65520	83.93	0.957	-0.633	       13380.816	9457.641	  9457.641	  101278.397	
19	0.20	0.00	1	0.884	3	65520	47.99	0.957	-0.633	       52572.644	45140.303	  45140.303	  62026.198	
20	0.20	0.10	1	0.883	3	65520	52.94	0.957	-0.633	       44913.133	43578.931	  43578.931	  69714.219	
21	0.20	0.20	1	0.882	3	65520	56.92	0.957	-0.633	       39036.399	41383.776	  41383.776	  75604.585	
22	0.20	0.30	1	0.882	3	65520	60.91	0.957	-0.633	       33509.972	38392.871	  38392.871	  81139.249	
23	0.20	0.40	1	0.881	3	65520	65.90	0.957	-0.633	       27260.714	33625.287	  33625.287	  87394.092	
24	0.20	0.50	1	0.880	3	65520	69.90	0.957	-0.633	       22908.573	29078.528	  29078.528	  91748.485	
25	0.20	0.60	1	0.880	3	65520	73.91	0.957	-0.633	       19225.299	23975.526	  23975.526	  95432.955	
26	0.20	0.70	1	0.879	3	65520	77.92	0.957	-0.633	       16283.059	18415.604	  18415.604	  98375.787	
27	0.20	0.80	1	0.879	3	65520	82.93	0.957	-0.633	       13733.570	10988.700	  10988.700	  100925.608	
28	0.30	0.00	1	0.884	3	65520	47.00	0.957	-0.633	       54127.256	45290.612	  45290.612	  60463.872	
29	0.30	0.10	1	0.883	3	65520	50.96	0.957	-0.633	       47946.487	44364.119	  44364.119	  66671.266	
30	0.30	0.20	1	0.883	3	65520	54.93	0.957	-0.633	       41938.152	42583.867	  42583.867	  72696.836	
31	0.30	0.30	1	0.882	3	65520	59.91	0.957	-0.633	       34852.595	39212.271	  39212.271	  79794.960	
32	0.30	0.40	1	0.881	3	65520	63.90	0.957	-0.633	       29661.340	35661.949	  35661.949	  84991.695	
33	0.30	0.50	1	0.880	3	65520	67.90	0.957	-0.633	       25006.087	31427.244	  31427.244	  89650.019	
34	0.30	0.60	1	0.880	3	65520	72.91	0.957	-0.633	       20079.225	25298.160	  25298.160	  94578.801	
35	0.30	0.70	1	0.879	3	65520	76.92	0.957	-0.633	       16945.735	19842.635	  19842.635	  97712.998	
36	0.30	0.80	1	0.879	3	65520	80.92	0.957	-0.633	       14597.902	14010.634	  14010.634	  100061.180	
37	0.40	0.00	1	0.885	3	65520	45.03	0.957	-0.633	       57243.600	45427.402	  45427.402	  57329.673	
38	0.40	0.10	1	0.884	3	65520	49.97	0.957	-0.633	       49480.311	44676.775	  44676.775	  65131.787	
39	0.40	0.20	1	0.883	3	65520	53.93	0.957	-0.633	       43417.407	43107.354	  43107.354	  71213.986	
40	0.40	0.30	1	0.882	3	65520	57.91	0.957	-0.633	       37617.521	40708.635	  40708.635	  77025.941	
41	0.40	0.40	1	0.881	3	65520	62.90	0.957	-0.633	       30912.744	36616.628	  36616.628	  83739.200	
42	0.40	0.50	1	0.881	3	65520	66.90	0.957	-0.633	       26114.435	32545.787	  32545.787	  88541.069	
43	0.40	0.60	1	0.880	3	65520	70.91	0.957	-0.633	       21921.989	27851.216	  27851.216	  92735.444	
