9	 20
 Node#	 Xpos	 Ypos	 Bit	OI	BL	MaxI	PrefD	Skew	Kurtosis	H1111	H2211	H1112	H2212	H1122	H2222	Xn 	Yn 	H1n 	H2n 	H3n 	H4n 	H5n 	H6n
1	 0.00	 0.00	 1	 0.879	 3	 65520	 77.92	 0.957	 -0.633	 0.048	 0.093	 0.043	 0.110	 0.093	 0.767	 -0.00	 0.80	 0.048	 0.093	 0.043	 0.110	 0.093	 0.767 
2	 0.00	 0.10	 1	 0.883	 3	 65520	 51.95	 0.957	 -0.633	 0.235	 0.166	 0.167	 0.212	 0.166	 0.433	 -0.00	 0.70	 0.235	 0.166	 0.167	 0.212	 0.166	 0.433 
3	 0.00	 0.20	 1	 0.882	 3	 65520	 56.92	 0.957	 -0.633	 0.181	 0.155	 0.142	 0.213	 0.155	 0.508	 -0.00	 0.60	 0.181	 0.155	 0.142	 0.213	 0.155	 0.508 
4	 0.00	 0.30	 1	 0.882	 3	 65520	 60.91	 0.957	 -0.633	 0.144	 0.144	 0.122	 0.207	 0.144	 0.567	 -0.00	 0.50	 0.144	 0.144	 0.122	 0.207	 0.144	 0.567 
5	 0.00	 0.40	 1	 0.881	 3	 65520	 64.90	 0.957	 -0.633	 0.113	 0.132	 0.102	 0.194	 0.132	 0.623	 -0.00	 0.40	 0.113	 0.132	 0.102	 0.194	 0.132	 0.623 
6	 0.00	 0.50	 1	 0.880	 3	 65520	 68.90	 0.957	 -0.633	 0.087	 0.119	 0.083	 0.175	 0.119	 0.675	 -0.00	 0.30	 0.087	 0.119	 0.083	 0.175	 0.119	 0.675 
7	 0.00	 0.60	 1	 0.880	 3	 65520	 73.91	 0.957	 -0.633	 0.062	 0.103	 0.060	 0.142	 0.103	 0.731	 -0.00	 0.20	 0.062	 0.103	 0.060	 0.142	 0.103	 0.731 
8	 0.00	 0.70	 1	 0.879	 3	 65520	 77.92	 0.957	 -0.633	 0.048	 0.093	 0.043	 0.110	 0.093	 0.767	 -0.00	 0.10	 0.048	 0.093	 0.043	 0.110	 0.093	 0.767 
9	 0.00	 0.80	 1	 0.879	 3	 65520	 81.93	 0.957	 -0.633	 0.038	 0.085	 0.027	 0.074	 0.085	 0.793	 -0.00	 -0.00	 0.038	 0.085	 0.027	 0.074	 0.085	 0.793 
10	 0.10	 0.00	 1	 0.884	 3	 65520	 47.00	 0.957	 -0.633	 0.297	 0.171	 0.188	 0.202	 0.171	 0.360	 0.10	 0.80	 0.297	 0.171	 0.188	 0.202	 0.171	 0.360 
11	 0.10	 0.10	 1	 0.883	 3	 65520	 50.96	 0.957	 -0.633	 0.247	 0.167	 0.171	 0.211	 0.167	 0.418	 0.10	 0.70	 0.247	 0.167	 0.171	 0.211	 0.167	 0.418 
12	 0.10	 0.20	 1	 0.883	 3	 65520	 54.93	 0.957	 -0.633	 0.202	 0.160	 0.152	 0.214	 0.160	 0.478	 0.10	 0.60	 0.202	 0.160	 0.152	 0.214	 0.160	 0.478 
13	 0.10	 0.30	 1	 0.882	 3	 65520	 58.91	 0.957	 -0.633	 0.162	 0.150	 0.132	 0.211	 0.150	 0.537	 0.10	 0.50	 0.162	 0.150	 0.132	 0.211	 0.150	 0.537 
14	 0.10	 0.40	 1	 0.881	 3	 65520	 63.90	 0.957	 -0.633	 0.120	 0.135	 0.107	 0.198	 0.135	 0.609	 0.10	 0.40	 0.120	 0.135	 0.107	 0.198	 0.135	 0.609 
15	 0.10	 0.50	 1	 0.880	 3	 65520	 67.90	 0.957	 -0.633	 0.093	 0.122	 0.087	 0.180	 0.122	 0.663	 0.10	 0.30	 0.093	 0.122	 0.087	 0.180	 0.122	 0.663 
