112	 179
 Node#	 Xpos	 Ypos	 Bit	OI	BL	MaxI	PrefD	Skew	Kurtosis	
1	0.00	0.00	0	0.040	288	551	161.48	-0.047	-1.047	
2	0.00	0.26	0	0.079	228	490	109.27	-0.338	-0.417	
3	0.00	0.52	0	0.088	288	585	83.99	-0.078	-0.919	
4	0.00	0.78	0	0.097	235	570	105.02	-0.024	-0.476	
5	0.00	1.04	0	0.092	233	532	104.56	-0.248	-0.596	
6	0.00	1.30	0	0.094	228	537	103.76	-0.230	-0.695	
7	0.00	1.56	0	0.081	215	538	104.89	-0.252	-0.410	
8	0.00	1.82	0	0.160	330	892	19.40	0.938	0.281	
9	0.00	2.08	0	0.042	281	630	103.11	0.753	0.619	
10	0.00	2.34	0	0.061	240	558	110.58	0.252	-0.901	
11	0.00	2.60	0	0.064	239	578	94.94	0.936	0.469	
12	0.00	2.86	0	0.102	221	592	96.70	1.346	1.455	
13	0.00	3.12	0	0.104	222	583	97.44	1.251	1.143	
14	0.00	3.38	0	0.098	218	551	97.11	1.008	0.431	
15	0.00	3.64	0	0.100	245	565	89.41	0.965	0.119	
16	0.00	3.90	0	0.100	223	540	94.56	0.742	-0.303	
17	0.00	4.16	0	0.097	227	546	89.58	0.584	-0.416	
18	0.00	4.42	0	0.107	232	549	88.72	0.682	-0.452	
19	0.00	4.68	0	0.115	231	562	92.12	0.588	-0.717	
20	0.00	4.94	0	0.112	231	563	88.26	0.493	-0.791	
21	0.00	5.20	0	0.114	228	538	86.76	0.315	-0.986	
22	0.00	5.46	0	0.118	251	588	87.19	0.294	-1.075	
23	0.00	5.72	0	0.122	237	556	84.41	0.403	-0.710	
24	0.00	5.98	0	0.123	241	597	81.54	0.419	-0.445	
25	0.00	6.24	0	0.125	218	559	83.39	0.275	-0.677	
26	0.00	6.50	0	0.130	219	561	82.15	0.223	-0.837	
27	0.00	6.76	0	0.123	229	571	85.14	0.145	-0.920	
28	0.00	7.02	0	0.133	222	562	83.11	0.089	-1.026	
29	0.00	7.28	0	0.134	219	554	81.61	0.001	-1.083	
30	0.00	7.54	0	0.134	217	552	79.74	-0.054	-1.102	
31	0.00	7.80	0	0.123	211	527	79.42	-0.188	-0.950	
32	0.00	8.06	0	0.136	199	529	80.47	-0.051	-0.930	
33	0.00	8.32	0	0.128	208	541	80.29	-0.002	-0.805	
34	0.00	8.58	0	0.139	205	538	80.08	0.088	-0.792	
35	0.00	8.84	0	0.131	202	531	82.49	0.074	-0.903	
36	0.00	9.10	0	0.391	473	2658	1.22	1.418	0.977	
37	0.00	9.36	0	0.124	214	529	83.21	0.030	-1.117	
38	0.00	9.62	0	0.124	223	525	82.85	0.145	-1.154	
39	0.00	9.88	0	0.129	225	514	82.89	0.219	-1.207	
40	0.00	10.14	0	0.127	236	532	85.71	0.193	-1.312	
41	0.00	10.40	0	0.124	227	556	84.55	0.163	-1.126	
42	0.00	10.66	0	0.123	220	555	87.30	0.203	-0.950	
43	0.00	10.92	0	0.123	234	552	89.77	0.214	-0.956	
44	0.00	11.18	0	0.136	237	580	92.37	0.404	-0.932	
45	0.00	11.44	0	0.127	232	563	90.99	0.227	-0.874	
46	0.00	11.70	0	0.117	231	536	92.27	0.192	-0.870	
47	0.00	11.96	0	0.113	233	543	86.50	0.267	-0.821	
48	0.00	12.22	0	0.124	224	533	92.69	0.168	-0.899	
49	0.00	12.48	0	0.110	235	508	93.71	0.156	-0.838	
50	0.00	12.74	0	0.113	233	493	96.29	0.053	-0.921	
51	0.00	13.00	0	0.113	240	505	97.77	-0.056	-0.859	
52	0.00	13.26	0	0.111	240	519	97.13	-0.042	-0.751	
53	0.00	13.52	0	0.098	245	510	100.64	-0.049	-0.341	
54	0.00	13.78	0	0.106	235	540	100.39	0.060	-0.538	
55	0.00	14.04	0	0.054	237	492	108.98	0.154	-0.789	
