60	 96
 Node#	 Xpos	 Ypos	 Bit	OI	BL	MaxI	PrefD	Skew	Kurtosis	h11	 h12	 h21	 h22	
1	0.00	0.00	0	0.073	216	457	123.57	0.208	-0.861	0.493	 -0.017	 -0.017	 0.507	
2	0.00	0.26	0	0.044	213	417	130.53	0.023	-0.838	0.498	 -0.011	 -0.011	 0.502	
3	0.00	0.52	0	0.062	204	469	143.89	-0.089	-0.954	0.505	 -0.015	 -0.015	 0.495	
4	0.00	0.78	0	0.010	206	670	122.35	0.529	0.397	0.507	 0.015	 0.015	 0.493	
5	0.00	1.04	0	0.092	186	380	126.89	0.548	-0.587	0.493	 -0.023	 -0.023	 0.507	
6	0.00	1.30	0	0.089	191	408	132.00	0.901	0.489	0.498	 -0.023	 -0.023	 0.502	
7	0.00	1.56	0	0.080	198	398	134.07	0.484	-0.626	0.499	 -0.021	 -0.021	 0.501	
8	0.00	1.82	0	0.114	212	456	124.12	1.248	1.159	0.489	 -0.028	 -0.028	 0.511	
9	0.00	2.08	0	0.010	217	476	50.73	0.481	-0.169	0.504	 -0.020	 -0.020	 0.496	
10	0.00	2.34	0	0.010	224	544	53.86	-0.050	-0.244	0.501	 -0.003	 -0.003	 0.499	
11	0.00	2.60	0	0.039	208	504	85.99	0.058	-0.715	0.490	 0.001	 0.001	 0.510	
12	0.00	2.86	0	0.061	226	459	109.66	0.017	-0.524	0.488	 -0.010	 -0.010	 0.512	
13	0.00	3.12	0	0.010	217	493	45.65	0.741	0.364	0.501	 -0.022	 -0.022	 0.499	
14	0.00	3.38	0	0.010	204	465	48.98	0.193	-0.764	0.503	 -0.023	 -0.023	 0.497	
15	0.00	3.64	0	0.041	235	467	92.03	0.271	-0.907	0.490	 -0.001	 -0.001	 0.510	
16	0.00	3.90	0	0.089	170	360	131.27	0.523	-0.457	0.497	 -0.023	 -0.023	 0.503	
17	0.00	4.16	0	0.049	200	563	80.33	-0.233	-0.511	0.488	 0.004	 0.004	 0.512	
18	0.00	4.42	0	0.086	213	547	152.38	0.343	-0.218	0.513	 -0.018	 -0.018	 0.487	
19	0.00	4.68	0	0.010	214	570	51.80	0.397	-0.023	0.501	 -0.004	 -0.004	 0.499	
20	0.00	4.94	0	0.062	206	458	114.90	0.168	0.095	0.490	 -0.012	 -0.012	 0.510	
21	0.00	5.20	0	0.033	220	467	121.19	0.082	-0.711	0.496	 -0.007	 -0.007	 0.504	
22	0.00	5.46	0	0.062	226	512	95.99	-0.568	-0.390	0.484	 -0.003	 -0.003	 0.516	
23	0.00	5.72	0	0.030	208	499	123.98	-0.587	0.399	0.497	 -0.007	 -0.007	 0.503	
24	0.00	5.98	0	0.065	216	489	86.97	-0.525	-0.318	0.483	 0.002	 0.002	 0.517	
25	0.00	6.24	0	0.056	195	517	95.14	-0.430	0.004	0.486	 -0.003	 -0.003	 0.514	
26	0.00	6.50	0	0.035	259	523	109.10	-0.071	-0.866	0.493	 -0.005	 -0.005	 0.507	
