8	 8
 Node#	 Xpos	 Ypos	 Bit	OI	BL	MaxI	PrefD	Skew	Kurtosis	h11	 h12	 h21	 h22	
1	0.00	0.00	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
2	0.00	0.10	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
3	0.00	0.20	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
4	0.00	0.30	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
5	0.00	0.40	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
6	0.00	0.50	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
7	0.00	0.60	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
8	0.00	0.70	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
9	0.10	0.00	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
10	0.10	0.10	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
11	0.10	0.20	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
12	0.10	0.30	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
13	0.10	0.40	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
14	0.10	0.50	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
15	0.10	0.60	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
16	0.10	0.70	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
17	0.20	0.00	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
18	0.20	0.10	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
19	0.20	0.20	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
20	0.20	0.30	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
21	0.20	0.40	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
22	0.20	0.50	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
23	0.20	0.60	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
24	0.20	0.70	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
25	0.30	0.00	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
26	0.30	0.10	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
27	0.30	0.20	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
28	0.30	0.30	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
29	0.30	0.40	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
30	0.30	0.50	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
31	0.30	0.60	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
32	0.30	0.70	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
33	0.40	0.00	1	0.513	4417	38748	5.65	0.633	-0.780	0.669	 0.034	 0.034	 0.331	
